region,area,candidate_rank,complex_name,api_name,lawd_cd,build_year,households,walk_station_min,nearest_station,elementary_school,middle_school,commute_eulji_min,priority,screening,note,source_url,static_data_status
서울,미아,1,SK북한산시티,SK북한산시티,11305,2004.0,3830.0,15.0,미아사거리,미양초,미양중,45.0,관찰,TOP 후보,가격 여유형,,기초검증
서울,미아,2,벽산라이브파크,벽산라이브파크,11305,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,미아,3,삼각산아이원,삼각산아이원,11305,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,미아,4,두산위브트레지움,두산위브트레지움,11305,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,미아,5,꿈의숲롯데캐슬,꿈의숲롯데캐슬,11305,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,개봉,1,한마을,한마을,11530,1999.0,1983.0,12.0,개봉,개봉초,경인중,45.0,관찰,TOP 후보,가격 여유형,,기초검증
서울,개봉,2,개봉푸르지오,개봉푸르지오,11530,2014.0,978.0,12.0,오류동,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,기초검증
서울,개봉,3,개봉한진,개봉한진,11530,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,개봉,4,개봉삼환,개봉삼환,11530,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,개봉,5,두산,두산,11530,1999.0,529.0,8.0,창신,창신초,한성여중,25.0,핵심,TOP 후보,도심 통근 강점,,기초검증
서울,신림,1,신림푸르지오,신림푸르지오,11620,2005.0,1456.0,18.0,신림,미성초,난우중,45.0,핵심,TOP 후보,10~11억대 Sweet spot 후보,,기초검증
서울,신림,2,신림현대,신림현대,11620,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신림,3,관악산휴먼시아2단지,관악산휴먼시아2단지,11620,,,,,,,,핵심,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,신림,4,관악산휴먼시아1단지,관악산휴먼시아1단지,11620,,,,,,,,관찰,TOP 후보,생활권 TOP 후보. 가격은 국토부 API로 자동 갱신; 세대수·역거리·학교 등 정적조건은 상세 검증 보강 예정.,,추가검증
서울,창신·숭인,1,두산,두산,11110,1999.0,529.0,8.0,창신,창신초,한성여중,25.0,핵심,TOP 후보,도심 통근 강점,,기초검증
